#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.447070E-01   0.226626E+07   0.222724E+07   0.245210E+03   0.245208E+03   0.255766E+06   0.225171E+07   0.226015E+07   0.225171E+07  -0.176748E+00   0.218261E+07   0.218173E+07   0.693451E+01
   0.462223E-01   0.219641E+07   0.215908E+07   0.222324E+03   0.222322E+03   0.237176E+06   0.218234E+07   0.219056E+07   0.218234E+07  -0.171302E+00   0.211538E+07   0.211455E+07   0.629866E+01
   0.477890E-01   0.212999E+07   0.209457E+07   0.201700E+03   0.201699E+03   0.219962E+06   0.211642E+07   0.212444E+07   0.211642E+07  -0.166128E+00   0.205151E+07   0.205073E+07   0.566379E+01
   0.494088E-01   0.206689E+07   0.203354E+07   0.183110E+03   0.183109E+03   0.204062E+06   0.205384E+07   0.206167E+07   0.205384E+07  -0.161216E+00   0.199086E+07   0.199015E+07   0.503794E+01
   0.510835E-01   0.200691E+07   0.197577E+07   0.166341E+03   0.166340E+03   0.189336E+06   0.199440E+07   0.200204E+07   0.199440E+07  -0.156550E+00   0.193326E+07   0.193261E+07   0.442958E+01
   0.528150E-01   0.194980E+07   0.192096E+07   0.151197E+03   0.151196E+03   0.175716E+06   0.193783E+07   0.194528E+07   0.193783E+07  -0.152109E+00   0.187842E+07   0.187784E+07   0.384728E+01
   0.546052E-01   0.189524E+07   0.186876E+07   0.137502E+03   0.137501E+03   0.163081E+06   0.188382E+07   0.189110E+07   0.188382E+07  -0.147870E+00   0.182608E+07   0.182556E+07   0.329975E+01
   0.564560E-01   0.184293E+07   0.181880E+07   0.125098E+03   0.125097E+03   0.151357E+06   0.183204E+07   0.183915E+07   0.183204E+07  -0.143806E+00   0.177590E+07   0.177545E+07   0.279512E+01
   0.583696E-01   0.179253E+07   0.177068E+07   0.113843E+03   0.113842E+03   0.140451E+06   0.178216E+07   0.178911E+07   0.178216E+07  -0.139890E+00   0.172755E+07   0.172716E+07   0.234087E+01
   0.611209E-01   0.172695E+07   0.170804E+07   0.100043E+03   0.100042E+03   0.126719E+06   0.171726E+07   0.172399E+07   0.171726E+07  -0.134796E+00   0.166465E+07   0.166434E+07   0.180669E+01
   0.638721E-01   0.166477E+07   0.164830E+07   0.883229E+02   0.883223E+02   0.114641E+06   0.165567E+07   0.166219E+07   0.165567E+07  -0.129962E+00   0.160496E+07   0.160470E+07   0.140963E+01
   0.666233E-01   0.160559E+07   0.159101E+07   0.783008E+02   0.783002E+02   0.103973E+06   0.159699E+07   0.160331E+07   0.159699E+07  -0.125355E+00   0.154808E+07   0.154787E+07   0.113749E+01
   0.693745E-01   0.154787E+07   0.153460E+07   0.696208E+02   0.696203E+02   0.944378E+05   0.153968E+07   0.154579E+07   0.153968E+07  -0.120857E+00   0.149253E+07   0.149234E+07   0.974414E+00
   0.721258E-01   0.149062E+07   0.147810E+07   0.620282E+02   0.620278E+02   0.858333E+05   0.148275E+07   0.148866E+07   0.148275E+07  -0.116388E+00   0.143736E+07   0.143717E+07   0.901555E+00
   0.748770E-01   0.143336E+07   0.142111E+07   0.553398E+02   0.553395E+02   0.780220E+05   0.142574E+07   0.143144E+07   0.142574E+07  -0.111913E+00   0.138211E+07   0.138192E+07   0.898483E+00
   0.776282E-01   0.137613E+07   0.136373E+07   0.494258E+02   0.494254E+02   0.709223E+05   0.136870E+07   0.137419E+07   0.136870E+07  -0.107436E+00   0.132682E+07   0.132661E+07   0.944471E+00
   0.803795E-01   0.131933E+07   0.130648E+07   0.441910E+02   0.441907E+02   0.644735E+05   0.131204E+07   0.131732E+07   0.131204E+07  -0.102989E+00   0.127191E+07   0.127168E+07   0.101980E+01
   0.831307E-01   0.126359E+07   0.125008E+07   0.395616E+02   0.395614E+02   0.586313E+05   0.125641E+07   0.126148E+07   0.125641E+07  -0.986215E-01   0.121799E+07   0.121773E+07   0.110671E+01
